"","Season","Game ID","Game Date","Home Team","Away Team","Event Type","Event Team","X Coord","Y Coord","Event Angle","Event Distance","X Coord 2","Y Coord 2","X Coord 1","Y Coord 1"
"47","2016-17",15083513,"10/7/2016","BUF","BOS","Shot","BUF",-62.9838,-3.4595,7.574460976,26.24520533,-62.9838,-3.4595,62.9838,3.4595
"48","2016-17",15083513,"10/7/2016","BUF","BOS","Shot","BUF",-69.0426,-18.3345,42.57312369,27.10076945,-69.0426,-18.3345,69.0426,18.3345
"49","2016-17",15083513,"10/7/2016","BUF","BOS","Shot","BOS",40.8672,22.525,25.07847065,53.14265764,40.8672,22.525,40.8672,22.525
"50","2016-17",15083513,"10/7/2016","BUF","BOS","Shot","BUF",-55.7172,-0.884,1.521433411,33.29453757,-55.7172,-0.884,55.7172,0.884
"51","2016-17",15083513,"10/7/2016","BUF","BOS","Shot","BUF",-76.725,-19.754,58.14346583,23.25717397,-76.725,-19.754,76.725,19.754
"52","2016-17",15083513,"10/7/2016","BUF","BOS","Shot","BOS",68.7456,-18.9125,43.03775268,27.71143041,68.7456,-18.9125,68.7456,-18.9125
"53","2016-17",15083513,"10/7/2016","BUF","BOS","Shot","BOS",43.2828,24.548,28.23372024,51.89091134,43.2828,24.548,43.2828,24.548
"54","2016-17",14689392,"10/8/2016","BOS","MET","Shot","BOS",-51.6186,24.616,33.36527603,44.75842403,-51.6186,24.616,51.6186,-24.616
"55","2016-17",14689392,"10/8/2016","BOS","MET","Shot","BOS",-60.9444,-21.0715,36.90882706,35.0873881,-60.9444,-21.0715,60.9444,21.0715
"56","2016-17",14689392,"10/8/2016","BOS","MET","Goal","BOS",-75.1014,3.009,12.21581657,14.2205894,-75.1014,3.009,75.1014,-3.009
"57","2016-17",14689392,"10/8/2016","BOS","MET","Shot","MET",61.7562,-10.4465,20.97907357,29.17797115,61.7562,-10.4465,61.7562,-10.4465
"58","2016-17",14689392,"10/8/2016","BOS","MET","Shot","MET",76.725,-0.5355,2.497959097,12.28667511,76.725,-0.5355,76.725,-0.5355
"59","2016-17",14689392,"10/8/2016","BOS","MET","Goal","MET",-77.9328,10.285,42.90200884,15.10841292,-77.9328,10.285,77.9328,-10.285
"60","2016-17",14689392,"10/8/2016","BOS","MET","Shot","MET",53.5392,29.1295,39.40161164,45.89113321,53.5392,29.1295,53.5392,29.1295
"61","2016-17",14689392,"10/8/2016","BOS","MET","Shot","BOS",-53.658,20.366,29.95290683,40.7900836,-53.658,20.366,53.658,-20.366
"62","2016-17",14689392,"10/8/2016","BOS","MET","Shot","BOS",-45.144,4.0715,5.304017865,44.04458932,-45.144,4.0715,45.144,-4.0715
"63","2016-17",14689392,"10/8/2016","BOS","MET","Shot","BOS",-45.5598,-11.866,15.27803968,45.03168809,-45.5598,-11.866,45.5598,11.866
"64","2016-17",14689392,"10/8/2016","BOS","MET","Shot","BOS",-38.6694,-10.098,11.34482421,51.33360401,-38.6694,-10.098,38.6694,10.098
"65","2016-17",14689392,"10/8/2016","BOS","MET","Shot","MET",67.815,13.277,32.07607222,25.00165902,67.815,13.277,67.815,13.277
"66","2016-17",14689392,"10/8/2016","BOS","MET","Shot","MET",76.725,14.3395,49.43557978,18.87582807,76.725,14.3395,76.725,14.3395
"67","2016-17",14689392,"10/8/2016","BOS","MET","Shot","BOS",-81.18,-1.598,11.54926182,7.981604099,-81.18,-1.598,81.18,1.598
"68","2016-17",14689392,"10/8/2016","BOS","MET","Shot","MET",73.8936,10.0895,33.73879213,18.16593876,73.8936,10.0895,73.8936,10.0895
"69","2016-17",14689392,"10/8/2016","BOS","MET","Shot","BOS",-67.419,13.991,32.95541184,25.71940205,-67.419,13.991,67.419,-13.991
"70","2016-17",14689392,"10/8/2016","BOS","MET","Shot","BOS",-68.6268,2.3035,6.450763748,20.5030093,-68.6268,2.3035,68.6268,-2.3035
"71","2016-17",14689392,"10/8/2016","BOS","MET","Shot","MET",75.1014,15.0535,47.28431899,20.48850761,75.1014,15.0535,75.1014,15.0535
"72","2016-17",14689392,"10/8/2016","BOS","MET","Shot","MET",53.2422,-8.143,12.82898799,36.67326969,53.2422,-8.143,53.2422,-8.143
"73","2016-17",14689392,"10/8/2016","BOS","MET","Shot","MET",50.8266,-12.0445,17.51156701,40.02847047,50.8266,-12.0445,50.8266,-12.0445
"74","2016-17",14689392,"10/8/2016","BOS","MET","Shot","BOS",-33.7986,9.9195,10.18713093,56.08556893,-33.7986,9.9195,33.7986,-9.9195
"75","2016-17",14689392,"10/8/2016","BOS","MET","Shot","BOS",-57.2814,13.107,22.45176323,34.32000925,-57.2814,13.107,57.2814,-13.107
"76","2016-17",14689392,"10/8/2016","BOS","MET","Shot","MET",74.3094,-3.5445,13.56488068,15.11215433,74.3094,-3.5445,74.3094,-3.5445
"77","2016-17",14689392,"10/8/2016","BOS","MET","Goal","BOS",-76.725,-0.7055,3.289429841,12.29525743,-76.725,-0.7055,76.725,0.7055
"78","2016-17",14689392,"10/8/2016","BOS","MET","Shot","MET",79.1604,3.1875,17.94952917,10.34301138,79.1604,3.1875,79.1604,3.1875
"79","2016-17",14689392,"10/8/2016","BOS","MET","Shot","BOS",-41.5008,-24.4375,27.22502064,53.41690188,-41.5008,-24.4375,41.5008,24.4375
"80","2016-17",14689392,"10/8/2016","BOS","MET","Goal","BOS",-74.2896,2.8305,10.89144988,14.98024027,-74.2896,2.8305,74.2896,-2.8305
"81","2016-17",14689392,"10/8/2016","BOS","MET","Shot","BOS",-46.3518,10.982,14.44007662,44.03945149,-46.3518,10.982,46.3518,-10.982
"82","2016-17",14689392,"10/8/2016","BOS","MET","Shot","MET",60.9444,9.9195,19.47185144,29.75757335,60.9444,9.9195,60.9444,9.9195
"83","2016-17",14689392,"10/8/2016","BOS","MET","Shot","BOS",-53.2422,-14.1695,21.6166002,38.46290409,-53.2422,-14.1695,53.2422,14.1695
"84","2016-17",14689392,"10/8/2016","BOS","MET","Shot","BOS",-65.3796,-9.2055,21.29218957,25.35082891,-65.3796,-9.2055,65.3796,9.2055
"85","2016-17",14689392,"10/8/2016","BOS","MET","Goal","BOS",-72.8442,-9.2565,29.8106439,18.6196849,-72.8442,-9.2565,72.8442,9.2565
"86","2016-17",14689392,"10/8/2016","BOS","MET","Shot","BOS",-49.1832,-0.357,0.5137038937,39.81840041,-49.1832,-0.357,49.1832,0.357
"87","2016-17",14689392,"10/8/2016","BOS","MET","Goal","BOS",-77.9328,8.5,37.52553389,13.95467362,-77.9328,8.5,77.9328,-8.5
"88","2016-17",14689392,"10/8/2016","BOS","MET","Shot","MET",77.5368,-10.982,43.77183067,15.8748001,77.5368,-10.982,77.5368,-10.982
"89","2016-17",14689392,"10/8/2016","BOS","MET","Shot","MET",73.8936,-10.982,36.0162763,18.67639272,73.8936,-10.982,73.8936,-10.982
"90","2016-17",14689392,"10/8/2016","BOS","MET","Shot","MET",69.0426,-16.2945,39.23040277,25.76448224,69.0426,-16.2945,69.0426,-16.2945
"91","2016-17",14689392,"10/8/2016","BOS","MET","Goal","MET",38.6694,-23.375,24.9115314,55.49378273,38.6694,-23.375,38.6694,-23.375
"92","2016-17",14689392,"10/8/2016","BOS","MET","Shot","BOS",-56.8854,7.7945,13.64239951,33.046963,-56.8854,7.7945,56.8854,-7.7945
"93","2016-17",14689392,"10/8/2016","BOS","MET","Shot","BOS",-63.7758,18.0625,35.60562585,31.02441251,-63.7758,18.0625,63.7758,-18.0625
"94","2016-17",14689392,"10/8/2016","BOS","MET","Shot","MET",52.0344,0.884,1.36991736,36.97616853,52.0344,0.884,52.0344,0.884
"95","2016-17",14689392,"10/8/2016","BOS","MET","Shot","MET",58.113,-3.366,6.219429465,31.06986844,58.113,-3.366,58.113,-3.366
"96","2016-17",14689392,"10/8/2016","BOS","MET","Shot","BOS",-60.1326,-6.1965,12.11492491,29.52496224,-60.1326,-6.1965,60.1326,6.1965
"97","2016-17",14689392,"10/8/2016","BOS","MET","Shot","BOS",-67.419,-9.0355,22.718011,23.39614971,-67.419,-9.0355,67.419,9.0355
"98","2016-17",14689392,"10/8/2016","BOS","MET","Shot","BOS",-71.4582,-4.0715,13.06713735,18.00810538,-71.4582,-4.0715,71.4582,4.0715
"99","2016-17",14689392,"10/8/2016","BOS","MET","Goal","MET",-81.8532,8.908,51.26027394,11.42056103,-81.8532,8.908,81.8532,-8.908
"100","2016-17",14689392,"10/8/2016","BOS","MET","Shot","MET",52.0344,12.9285,19.27698258,39.16122694,52.0344,12.9285,52.0344,12.9285
"101","2016-17",14689392,"10/8/2016","BOS","MET","Shot","BOS",-47.1636,12.2145,16.27562276,43.58300558,-47.1636,12.2145,47.1636,-12.2145
"102","2016-17",14689392,"10/8/2016","BOS","MET","Shot","BOS",-49.203,28.152,35.27520656,48.74768008,-49.203,28.152,49.203,-28.152
"103","2016-17",14689392,"10/8/2016","BOS","MET","Goal","BOS",-76.725,4.4285,19.83812213,13.04941521,-76.725,4.4285,76.725,-4.4285
"104","2016-17",14689392,"10/8/2016","BOS","MET","Shot","BOS",-77.1408,13.277,48.22833093,17.8022289,-77.1408,13.277,77.1408,-13.277
"105","2016-17",14689401,"10/15/2016","BOS","BUF","Shot","BOS",-99,-42.5,76.75948008,43.66062299,-99,-42.5,99,42.5
"106","2016-17",14689401,"10/15/2016","BOS","BUF","Shot","BUF",72.072,-1.598,5.392729856,17.00325816,72.072,-1.598,72.072,-1.598
"107","2016-17",14689401,"10/15/2016","BOS","BUF","Shot","BUF",65.0232,4.233,10.01215118,24.34759182,65.0232,4.233,65.0232,4.233
"108","2016-17",14689401,"10/15/2016","BOS","BUF","Shot","BOS",-59.796,11.084,20.78360928,31.2366559,-59.796,11.084,59.796,-11.084
"109","2016-17",14689401,"10/15/2016","BOS","BUF","Shot","BUF",55.638,-7.4205,12.53980868,34.17728579,55.638,-7.4205,55.638,-7.4205
"110","2016-17",14689401,"10/15/2016","BOS","BUF","Shot","BUF",13.365,-27.302,19.84808448,80.41176798,13.365,-27.302,13.365,-27.302
"111","2016-17",14689401,"10/15/2016","BOS","BUF","Shot","BOS",-69.201,0.8075,2.335507565,19.81546006,-69.201,0.8075,69.201,-0.8075
"112","2016-17",14689401,"10/15/2016","BOS","BUF","Shot","BUF",80.289,-7.4205,40.42614932,11.44313511,80.289,-7.4205,80.289,-7.4205
"113","2016-17",14689401,"10/15/2016","BOS","BUF","Shot","BOS",-56.2716,-17.7055,28.4126237,37.21065569,-56.2716,-17.7055,56.2716,17.7055
"114","2016-17",14689401,"10/15/2016","BOS","BUF","Shot","BOS",-73.4976,-10.166,33.25563766,18.53839156,-73.4976,-10.166,73.4976,10.166
"115","2016-17",14689401,"10/15/2016","BOS","BUF","Shot","BUF",79.497,4.233,24.01002155,10.40313885,79.497,4.233,79.497,4.233
"116","2016-17",14689401,"10/15/2016","BOS","BUF","Shot","BOS",-53.5392,-14.28,21.93455686,38.22808832,-53.5392,-14.28,53.5392,14.28
"117","2016-17",14689401,"10/15/2016","BOS","BUF","Shot","BOS",-64.4886,-12.903,27.76268307,27.70011081,-64.4886,-12.903,64.4886,12.903
"118","2016-17",14689401,"10/15/2016","BOS","BUF","Shot","BOS",-28.4922,25.1345,22.55764297,65.52050787,-28.4922,25.1345,28.4922,-25.1345
"119","2016-17",14689401,"10/15/2016","BOS","BUF","Shot","BOS",-68.805,-15.3085,37.16337059,25.34143242,-68.805,-15.3085,68.805,15.3085
"120","2016-17",14689401,"10/15/2016","BOS","BUF","Shot","BOS",-32.4126,2.516,2.545819392,56.64330582,-32.4126,2.516,32.4126,-2.516
"121","2016-17",14689401,"10/15/2016","BOS","BUF","Shot","BOS",-39.8376,0.8075,0.9410073952,49.16903121,-39.8376,0.8075,39.8376,-0.8075
"122","2016-17",14689401,"10/15/2016","BOS","BUF","Shot","BUF",56.0142,6.63,11.36477054,33.64550344,56.0142,6.63,56.0142,6.63
"123","2016-17",14689401,"10/15/2016","BOS","BUF","Shot","BUF",56.0142,-10.166,17.12894339,34.51681558,56.0142,-10.166,56.0142,-10.166
"124","2016-17",14689401,"10/15/2016","BOS","BUF","Shot","BOS",-56.6676,3.2045,5.660163228,32.4908127,-56.6676,3.2045,56.6676,-3.2045
"125","2016-17",14689401,"10/15/2016","BOS","BUF","Shot","BOS",-61.7562,4.233,8.831702483,27.57068964,-61.7562,4.233,61.7562,-4.233
"126","2016-17",14689401,"10/15/2016","BOS","BUF","Shot","BOS",-69.9732,2.856,8.536596732,19.23995463,-69.9732,2.856,69.9732,-2.856
"127","2016-17",14689401,"10/15/2016","BOS","BUF","Shot","BOS",-68.5476,-2.7455,7.645595036,20.63585317,-68.5476,-2.7455,68.5476,2.7455
"128","2016-17",14689401,"10/15/2016","BOS","BUF","Shot","BOS",-57.9744,-9.5965,17.18731344,32.47584745,-57.9744,-9.5965,57.9744,9.5965
